Timeslot,Temperature
196656,28.74
196764,28.76
196869,28.72
196983,28.75
197094,28.75
197193,28.69
197295,28.63
197409,28.69
197517,28.69
197625,28.63
197733,28.57
197844,28.63
197952,28.63
198042,28.6
198153,28.62
198258,28.62
198348,28.64
198459,28.64
198567,28.67
198672,28.69
198777,28.72
198885,28.74
198978,28.74
199086,28.74
199191,28.72
199305,28.7
199410,28.74
199521,28.76
199626,28.74
199728,28.74
199833,28.78
199923,28.79
200028,28.79
200139,28.82
200247,28.82
200337,28.76
200451,28.72
200550,28.74
200661,28.7
200769,28.74
200871,28.74
200973,28.75
201060,28.75
201186,28.75
201279,28.72
201393,28.69
201501,28.72
201591,28.74
201702,28.74
201819,28.72
201924,28.74
202032,28.7
202128,28.66
202242,28.7
202332,28.72
202446,28.74
202551,28.76
202641,28.78
202743,28.75
202854,28.72
202956,28.7
203061,28.74
203160,28.76
203268,28.7
203379,28.67
203484,28.7
203595,28.74
203697,28.74
203802,28.72
203913,28.69
204018,28.69
204108,28.62
204216,28.57
204327,28.6
204432,28.62
204540,28.62
204645,28.62
204744,28.6
204852,28.62
204954,28.62
205068,28.62
205149,28.62
205263,28.63
205377,28.63
205482,28.62
205593,28.63
205698,28.62
205788,28.59
205890,28.57
206001,28.57
206103,28.52
206196,28.57
206307,28.62
206409,28.62
206517,28.59
206625,28.56
206733,28.6
206838,28.59
206940,28.6
207045,28.62
207150,28.63
207255,28.62
207366,28.63
207468,28.63
207576,28.63
207681,28.64
207771,28.67
207882,28.67
207987,28.67
208095,28.69
208203,28.72
208311,28.7
208416,28.72
208518,28.74
208620,28.75
208725,28.69
208836,28.67
